type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,year,月,日,1正評,negative,3中立,2+3,是否有負評
photo,post_page_157215971120682,157215971120682_813776295464643,https://www.facebook.com/157215971120682/posts/813776295464643,?Passengers arriving from the Taoyuan Airport MRT can easily transfer to the Orange Line at Sanchong Station (O15) and then take Red  Blue or Green Lines at their respective junction stations.??  ??Venues of the following final matches can be accessed by the Orange line:  1. Xinzhuang Station (O18): Table Tennis ?? 2. Fu Jen University Station (O19): Football ?  For the competition Schedule: https://goo.gl/rD7xup Tickets Information: https://tickets.2017.taipei/  For more information about Taipei MRT  please visit?? http://english.metro.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19748499_813776248797981_6383176097465582556_n.jpg?oh=31eb514467a434d0c599b6191136020a&oe=59F96F84,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19748499_813776248797981_6383176097465582556_n.jpg?oh=06355e822e959ce407143cdd9edc4670&oe=5A01EE7B,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813776248797981/?type=3,facebook.com,2017-07-28T03:44:00+0000,1501213440,2017/7/28 05:44,266,1,271,8,280,1,1,0,0,0,266,5,0,0,0,0,0,2017/7/28,2017,7,28,2,0,0,0,0
photo,post_page_157215971120682,157215971120682_812000295642243,https://www.facebook.com/157215971120682/posts/812000295642243,??It s very convenient for visitors to enjoy most Universiade events by Taipei MRT.  Let s take the Red Line today.??  It starts its service from the bank of gleaming Tamsui River to the famous Shilin Night market  and then all the way to the Taipei 101 skyscraper. It allows you arrange a getaway along the line in addition to attending the events.  These are the Universiade events that can be reached with the Red Line:  1. Yuanshan (R14): Billiards?? 2. Zhishan (R17): Baseball ? and Diving 3. Tamsui (R28): Weightlifting??  MRT passes can be conveniently purchased at all entrances of each station.??  For the competition Schedule: https://goo.gl/rD7xup Tickets Information: https://tickets.2017.taipei/  For more information about Taipei MRT  please visit?? http://english.metro.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19642270_811999578975648_7697268745934094656_n.jpg?oh=b7a0d2991d8b8a9f585f61c6d737c575&oe=59FBA7CE,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19642270_811999578975648_7697268745934094656_n.jpg?oh=1638d6b8ec3c93e9b58340c9a53c2da5&oe=5A396131,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/811999578975648/?type=3,facebook.com,2017-07-21T03:44:00+0000,1500608640,2017/7/21 05:44,332,12,340,16,368,12,3,9,3,0,332,6,2,0,0,0,0,2017/7/21,2017,7,21,2,0,0,0,0
photo,post_page_157215971120682,157215971120682_820124041496535,https://www.facebook.com/157215971120682/posts/820124041496535,In oriental cultures  the hollow inside of bamboo epitomizes intellects  virtues – modesty  honesty and decency.   Designed with the  Competition with Decency  concept from Confucius s book  The Analects  in mind  the cauldron torch employs elements such as the base of Taiwan s traditional hexagram bamboo pattern and the burner cone with bamboo weaving features shaped by advanced five-axis laser cutters.  The torch is now being passed in Taiwan on a   LOVE   path. You can follow the path at https://goo.gl/rXn594  ?? More Torch：https://goo.gl/Fp8Uaj ?? Closing Ceremony Tickets！http://tickets.2017.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20228296_820124041496535_5847119148493419820_n.jpg?oh=a13b313ff1292744828ee1e5d9857d9e&oe=5A36DEDA,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20228296_820124041496535_5847119148493419820_n.jpg?oh=652ef8069dffa1c53d6fd1542b9d409b&oe=59FBE125,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/820124041496535/?type=3,facebook.com,2017-07-19T03:44:00+0000,1500435840,2017/7/19 05:44,316,1,329,23,353,1,1,0,0,0,315,9,4,0,0,0,0,2017/7/19,2017,7,19,3,0,5,5,0
photo,post_page_157215971120682,157215971120682_812003042308635,https://www.facebook.com/157215971120682/posts/812003042308635,Stretching from Xindian to Songshan  the Green Line of Taipei MRT brings you from the Bitan (Jade Lake) attraction to Raohe Night Market – one of Taipei s street delicacy destinations.??????  Of course  the Universiade events are too exciting to miss out on. So hurry up  embark on the Green Line to attend the following events:  1. Gongguan (G07): volleyball  at the National Taiwan University Sports Center.?? 2. Taipei Arena (G17): basketball  at the Taipei Arena; athletics  at the Taipei Stadium; badminton  at the Taipei Gymnasium.???????  MRT passes can be conveniently purchased at all entrances of each station. ??  For the competition Schedule: https://goo.gl/rD7xup Tickets Information: https://tickets.2017.taipei/  For more information about Taipei MRT  please visit ?? http://english.metro.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19702496_812002318975374_3848941880349276462_n.jpg?oh=9c8cae08dd8748711b17822b151b0e9b&oe=59EC6BEA,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19702496_812002318975374_3848941880349276462_n.jpg?oh=9f5b0b890a0c6919f98006d10e8873b7&oe=59F50A15,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/812002318975374/?type=3,facebook.com,2017-07-15T09:17:00+0000,1500110220,2017/7/15 11:17,481,4,491,12,507,2,2,0,0,0,480,10,0,0,0,0,0,2017/7/15,2017,7,15,68,0,5,5,0
photo,post_page_157215971120682,157215971120682_815397215302551,https://www.facebook.com/157215971120682/posts/815397215302551,??The first stop of domestic torch relay - Mt. Jade  The sacred torch reached its first stop  the summit of Mt.Jade at 5:20  July 7th.  ?? For more torch relay: https://goo.gl/4jgnJD ?? Tickets for Taipei 2017: https://tickets.2017.taipei/,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19990253_815397215302551_9111920630246297259_n.jpg?oh=0a0114f557f49213cb1a37ddce314bb4&oe=5A36818E,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19990253_815397215302551_9111920630246297259_n.jpg?oh=92ace304a8ddd83b6a44b404a0622eda&oe=5A2CE271,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/815397215302551/?type=3,facebook.com,2017-07-10T03:43:00+0000,1499658180,2017/7/10 05:43,3559,24,3684,73,3781,22,13,9,5,0,3549,82,37,4,0,1,0,2017/7/10,2017,7,10,35,0,3,3,0
photo,post_page_157215971120682,157215971120682_814819418693664,https://www.facebook.com/157215971120682/posts/814819418693664,??30 August  Celebrate with all the Universiade Heroes at the Closing Ceremony??  Rock with the most authentic Taiwanese indie bands of all time with other musicians!  ??Buy tickets now→https://goo.gl/AJpZAC,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19748401_814816155360657_6167532861747370529_n.jpg?oh=fc00352be992327ff04c7031babb8737&oe=5A33C3EF,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19748401_814816155360657_6167532861747370529_n.jpg?oh=d5110b978e517e61aa2de29db97a5e12&oe=5A391010,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/814816155360657/?type=3,facebook.com,2017-07-09T05:14:00+0000,1499577240,2017/7/9 07:14,277,1,288,10,299,1,1,0,0,0,275,6,2,3,0,0,0,2017/7/9,2017,7,9,4,0,0,0,0
photo,post_page_157215971120682,157215971120682_814214042087535,https://www.facebook.com/157215971120682/posts/814214042087535,??30 August  Celebrate with all the Universiade Heroes at the Closing Ceremony!   Get ready to party with the home-grown pop divas and SIAMSIAM ROBOT BAND at the Closing Ceremony!  Buy tickets now→https://goo.gl/AJpZAC,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19756492_814214042087535_1380978466741915178_n.jpg?oh=035c3152a96827662dcb5f98a11e3d89&oe=59EC05D0,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/19756492_814214042087535_1380978466741915178_n.jpg?oh=fc6cfb3a441c275bc6958393347b3f81&oe=59F77911,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/814214042087535/?type=3,facebook.com,2017-07-08T05:14:00+0000,1499490840,2017/7/8 07:14,463,5,483,37,525,4,2,2,1,0,460,13,6,1,0,0,0,2017/7/8,2017,7,8,37,0,0,0,0
photo,post_page_157215971120682,157215971120682_813776248797981,https://www.facebook.com/157215971120682/posts/813776248797981,1. Xinzhuang Station (O18):  Table tennis  at Xinzhuang Gymnasium  New Taipei City??  2. Fu Jen University Station (O19):  Football: at 用Fu Jen Catholic University Stadium  New Taipei City?,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19748499_813776248797981_6383176097465582556_n.jpg?oh=31eb514467a434d0c599b6191136020a&oe=59F96F84,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19748499_813776248797981_6383176097465582556_n.jpg?oh=06355e822e959ce407143cdd9edc4670&oe=5A01EE7B,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813776248797981/?type=3,facebook.com,2017-07-07T04:00:00+0000,1499400000,2017/7/7 06:00,15,0,15,0,15,0,0,0,0,0,15,0,0,0,0,0,0,2017/7/7,2017,7,7,2,0,1,1,0
photo,post_page_157215971120682,157215971120682_813590315483241,https://www.facebook.com/157215971120682/posts/813590315483241,??Taiwan High Speed Rail join up as the official partner of Taipei 2017 Universiade??  Taiwan High Speed Rail give a warm welcome to all passengers and tourists to join Taipei 2017 Universiade with us!  For more information: https://goo.gl/9JTaMZ,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19875284_813590315483241_1110764048202028125_n.jpg?oh=f6a5f61ab3b977484f531d4fca193111&oe=5A2FD881,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19875284_813590315483241_1110764048202028125_n.jpg?oh=2c8eae9d4d14dc4e4fe5edc909bb7a25&oe=59EEDC7E,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813590315483241/?type=3,facebook.com,2017-07-07T02:03:01+0000,1499392981,2017/7/7 04:03,506,4,517,10,531,3,2,1,7,0,505,9,0,2,0,0,0,2017/7/7,2017,7,7,11,0,0,0,0
photo,post_page_157215971120682,157215971120682_812603505581922,https://www.facebook.com/157215971120682/posts/812603505581922,?? The domestic torch relay started today!!   ? The core concept of the relay is “ LOVE = Taipei ”.   The design also symbolizes connections among the 22 cities and counties of Taiwan through love.  After being lit at the top of Mt. Jade  the relay route will consist of four stages  one for each letter of LOVE.  ?? For more Torch Relay https://goo.gl/ss6wr1 ?? Tickets https://tickets.2017.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19702318_812603505581922_892403807004245906_n.png?oh=829051cac4805e9fecf41004e7990c66&oe=5A2B5F03,https://scontent.xx.fbcdn.net/v/t1.0-9/19702318_812603505581922_892403807004245906_n.png?oh=a6aaed285af87ab0ac2169fd30cf8719&oe=59F60BB0,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/812603505581922/?type=3,facebook.com,2017-07-06T03:44:00+0000,1499312640,2017/7/6 05:44,2187,40,2343,175,2558,38,25,13,50,0,2182,100,22,33,0,1,0,2017/7/6,2017,7,6,9,0,0,0,0
photo,post_page_157215971120682,157215971120682_812007792308160,https://www.facebook.com/157215971120682/posts/812007792308160,?? 30 Days Countdown – Universiade Taipei Carnival ??  The Carnival will turn Chianti Avenue Plaza into a massive dance floor. We would like to invite you to celebrate the 30 Days countdown to Taipei 2017 Summer Universiade. Shall we dance!  Date: July 16th   2017  2:00 pm Venue: Chianti Avenue Plaza For more information  please visit: http://events.2017.taipei/,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19657244_812007792308160_1775922998141181046_n.jpg?oh=b77b782e73b83ebf1d127776eeaa7830&oe=59EF5B77,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19657244_812007792308160_1775922998141181046_n.jpg?oh=b53972a5b291b8db31357b508ee55e51&oe=5A330688,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/812007792308160/?type=3,facebook.com,2017-07-04T06:53:30+0000,1499151210,2017/7/4 08:53,274,4,279,8,291,4,4,0,0,0,274,5,0,0,0,0,0,2017/7/4,2017,7,4,1,0,0,0,0
